date,coin,price
2026-02-01,solana,105.3546472133961
2026-02-02,solana,100.89974142414994
2026-02-03,solana,104.51783551612739
2026-02-04,solana,97.61983239747126
2026-02-05,solana,92.2922393896508
2026-02-06,solana,78.50039816888382
2026-02-07,solana,87.57576306445752
2026-02-08,solana,87.6724462446035
2026-02-09,solana,87.04941449412165
2026-02-10,solana,86.83640091013909
2026-02-11,solana,82.859350330399
2026-02-12,solana,79.26902777120368
2026-02-12,solana,78.92786262934753
2026-01-14,cardano,0.4201754943648495
2026-01-15,cardano,0.41451929004035454
2026-01-16,cardano,0.39358072637379005
2026-01-17,cardano,0.39543383895050876
2026-01-18,cardano,0.3962039725095254
2026-01-19,cardano,0.3777256948570596
2026-01-20,cardano,0.37019735512250185
2026-01-21,cardano,0.3509077527889071
2026-01-22,cardano,0.36551834288545615
2026-01-23,cardano,0.35874644488806817
2026-01-24,cardano,0.3599768411955781
2026-01-25,cardano,0.3581573392104223
2026-01-26,cardano,0.33874558887242673
2026-01-27,cardano,0.352215092283845
2026-01-28,cardano,0.3607127926216893
2026-01-29,cardano,0.3578492554310702
2026-01-30,cardano,0.33403555503250293
2026-01-31,cardano,0.32039195184496866
2026-02-01,cardano,0.2933197862841921
2026-02-02,cardano,0.2863646051047106
2026-02-03,cardano,0.298815192559731
2026-02-04,cardano,0.2905944812699618
2026-02-05,cardano,0.287004135336157
2026-02-06,cardano,0.24569164116649098
2026-02-07,cardano,0.27622977644165136
2026-02-08,cardano,0.27222668572815106
2026-02-09,cardano,0.27064423469208887
2026-02-10,cardano,0.26994029871198044
2026-02-11,cardano,0.26162742149269524
2026-02-12,cardano,0.25533384814610166
2026-02-12,cardano,0.25970517022911754
2026-01-14,tron,0.3070988788932358
2026-01-15,tron,0.30458242872761854
2026-01-16,tron,0.3118058634977161
2026-01-17,tron,0.3091997693032059
2026-01-18,tron,0.3183448183235925
2026-01-19,tron,0.3182782758976558
2026-01-20,tron,0.31179518040042803
2026-01-21,tron,0.29692475378395466
2026-01-22,tron,0.2990831722070233
2026-01-23,tron,0.3050603342473167
2026-01-24,tron,0.2973939792447422
2026-01-25,tron,0.2950376173021198
2026-01-26,tron,0.2953043604473472
2026-01-27,tron,0.2965207531211118
2026-01-28,tron,0.29427942900026594
2026-01-29,tron,0.29494820141388145
2026-01-30,tron,0.2945226989800552
2026-01-31,tron,0.29371839650035664
2026-02-01,tron,0.2863275176382668
2026-02-02,tron,0.2846380315974083
2026-02-03,tron,0.2830563262871221
2026-02-04,tron,0.2854891017030939
2026-02-05,tron,0.282829051276574
2026-02-06,tron,0.2693280655032727
2026-02-07,tron,0.27394602117267597
2026-02-08,tron,0.2780721618992324
2026-02-09,tron,0.277989000211559
2026-02-10,tron,0.2786403027013582
2026-02-11,tron,0.277857437141291
2026-02-12,tron,0.277793014862468
2026-02-12,tron,0.2769927979420674
